sx,sy,gx,gy
40,39,94,82
67,56,99,96
53,53,93,88
63,51,88,92
50,34,86,82
60,34,88,90
69,44,92,99
66,52,97,97
68,31,82,88
34,63,82,90
53,48,96,84
52,35,89,94
55,30,80,98
59,41,94,80
52,64,89,83
42,56,83,94
46,59,82,91
51,56,88,93
48,63,98,98
56,42,98,81
67,48,93,95
56,35,97,94
58,51,83,94
54,44,86,85
65,21,89,84
63,25,85,82
58,46,84,97
38,57,96,89
54,51,90,90
54,44,88,99
66,54,99,87
35,60,89,81
51,46,85,85
64,33,80,82
51,50,98,80
40,67,95,99
39,61,89,93
78,50,90,90
66,46,95,98
65,40,90,93
53,48,80,82
61,44,80,82
42,60,81,85
62,48,98,96
61,47,88,87
56,51,89,91
66,42,87,85
49,46,91,86
71,51,93,92
64,40,90,97
57,52,89,88
39,68,89,92
64,49,98,92
72,38,84,93
45,48,88,96
57,56,90,99
55,35,93,92
63,35,93,88
70,43,86,86
49,54,89,87
55,33,90,88
60,43,91,97
58,41,81,83
52,46,86,90
66,42,99,89
64,35,89,98
61,34,84,89
45,31,95,82
52,53,87,83
60,49,98,87
47,26,83,83
38,51,88,96
61,38,87,84
72,34,89,87
49,55,99,87
51,50,90,89
52,45,89,88
38,47,80,80
62,48,94,81
45,43,83,92
59,33,86,93
39,51,96,97
54,42,84,93
64,36,94,95
50,45,84,88
55,42,95,82
42,47,96,89
32,62,83,83
71,28,80,94
63,54,89,95
25,68,82,89
48,45,87,80
53,59,99,89
60,39,92,86
67,39,95,84
72,41,94,82
45,40,91,84
52,42,94,85
55,44,94,87
59,40,86,81
